,station,date,year,month,day,weekday,daily_total_rainfall,mean_temp,mean_wind_speed,rained
87,Changi,2014-03-29,2014,3,29,5,0.4,28.6,8.3,1
88,Changi,2014-03-30,2014,3,30,6,0.0,28.4,9.1,0
89,Changi,2014-03-31,2014,3,31,0,0.0,28.8,10.5,0
90,Changi,2014-04-01,2014,4,1,1,2.0,28.4,7.5,1
91,Changi,2014-04-02,2014,4,2,2,0.0,28.8,8.6,0
92,Changi,2014-04-03,2014,4,3,3,0.0,29.3,11.0,0
93,Changi,2014-04-04,2014,4,4,4,0.0,28.6,7.4,0
94,Changi,2014-04-05,2014,4,5,5,23.4,26.4,5.4,1
95,Changi,2014-04-06,2014,4,6,6,0.2,28.0,10.4,1
96,Changi,2014-04-07,2014,4,7,0,10.0,28.6,7.6,1
97,Changi,2014-04-08,2014,4,8,1,6.6,27.6,6.9,1
98,Changi,2014-04-09,2014,4,9,2,1.8,27.6,7.2,1
99,Changi,2014-04-10,2014,4,10,3,0.0,28.0,6.2,0
100,Changi,2014-04-11,2014,4,11,4,2.8,27.5,6.1,1
101,Changi,2014-04-12,2014,4,12,5,8.0,26.8,5.0,1
102,Changi,2014-04-13,2014,4,13,6,0.0,28.5,8.3,0
103,Changi,2014-04-14,2014,4,14,0,0.0,28.4,7.7,0
104,Changi,2014-04-15,2014,4,15,1,0.0,28.5,7.9,0
105,Changi,2014-04-16,2014,4,16,2,0.2,28.7,6.1,1
106,Changi,2014-04-17,2014,4,17,3,28.8,28.4,6.9,1
107,Changi,2014-04-18,2014,4,18,4,0.0,28.2,6.4,0
108,Changi,2014-04-19,2014,4,19,5,0.0,28.9,8.1,0
109,Changi,2014-04-20,2014,4,20,6,0.2,28.2,7.4,1
110,Changi,2014-04-21,2014,4,21,0,5.2,26.6,5.3,1
111,Changi,2014-04-22,2014,4,22,1,0.0,27.9,6.8,0
112,Changi,2014-04-23,2014,4,23,2,0.0,28.6,8.8,0
113,Changi,2014-04-24,2014,4,24,3,2.2,28.7,8.2,1
114,Changi,2014-04-25,2014,4,25,4,0.0,28.8,7.5,0
115,Changi,2014-04-26,2014,4,26,5,0.0,29.1,6.6,0
116,Changi,2014-04-27,2014,4,27,6,0.2,28.7,6.0,1
117,Changi,2014-04-28,2014,4,28,0,0.2,28.6,5.9,1
118,Changi,2014-04-29,2014,4,29,1,4.8,28.3,5.1,1
119,Changi,2014-04-30,2014,4,30,2,13.4,28.2,6.6,1
120,Changi,2014-05-01,2014,5,1,3,0.4,28.4,6.2,1
121,Changi,2014-05-02,2014,5,2,4,0.0,29.4,8.0,0
122,Changi,2014-05-03,2014,5,3,5,0.0,29.6,10.3,0
123,Changi,2014-05-04,2014,5,4,6,1.4,29.5,8.0,1
124,Changi,2014-05-05,2014,5,5,0,0.0,29.4,9.5,0
125,Changi,2014-05-06,2014,5,6,1,0.2,29.8,9.7,1
126,Changi,2014-05-07,2014,5,7,2,18.4,28.0,5.9,1
127,Changi,2014-05-08,2014,5,8,3,10.6,27.4,4.4,1
128,Changi,2014-05-09,2014,5,9,4,1.4,29.0,7.2,1
129,Changi,2014-05-10,2014,5,10,5,0.0,29.9,8.1,0
130,Changi,2014-05-11,2014,5,11,6,0.0,29.0,6.3,0
131,Changi,2014-05-12,2014,5,12,0,0.4,28.2,5.9,1
132,Changi,2014-05-13,2014,5,13,1,0.0,29.2,5.9,0
133,Changi,2014-05-14,2014,5,14,2,1.6,28.4,6.8,1
134,Changi,2014-05-15,2014,5,15,3,12.2,29.5,6.6,1
135,Changi,2014-05-16,2014,5,16,4,20.2,28.6,6.4,1
136,Changi,2014-05-17,2014,5,17,5,0.0,28.6,5.6,0
137,Changi,2014-05-18,2014,5,18,6,22.2,26.7,4.5,1
138,Changi,2014-05-19,2014,5,19,0,7.2,27.2,6.9,1
139,Changi,2014-05-20,2014,5,20,1,3.4,27.5,6.1,1
140,Changi,2014-05-21,2014,5,21,2,0.0,27.7,5.4,0
141,Changi,2014-05-22,2014,5,22,3,2.0,28.7,8.2,1
142,Changi,2014-05-23,2014,5,23,4,3.0,27.1,5.3,1
143,Changi,2014-05-24,2014,5,24,5,0.0,28.4,9.8,0
144,Changi,2014-05-25,2014,5,25,6,0.0,29.3,8.4,0
145,Changi,2014-05-26,2014,5,26,0,0.0,28.8,6.9,0
146,Changi,2014-05-27,2014,5,27,1,0.8,28.0,6.5,1
147,Changi,2014-05-28,2014,5,28,2,2.6,28.8,7.3,1
148,Changi,2014-05-29,2014,5,29,3,17.8,28.5,5.4,1
149,Changi,2014-05-30,2014,5,30,4,0.0,27.9,5.9,0
150,Changi,2014-05-31,2014,5,31,5,0.0,29.0,7.4,0
151,Changi,2014-06-01,2014,6,1,6,18.0,28.1,7.9,1
152,Changi,2014-06-02,2014,6,2,0,0.0,28.7,6.0,0
153,Changi,2014-06-03,2014,6,3,1,0.0,29.4,10.5,0
154,Changi,2014-06-04,2014,6,4,2,6.6,27.7,6.6,1
155,Changi,2014-06-05,2014,6,5,3,8.8,27.0,6.3,1
156,Changi,2014-06-06,2014,6,6,4,4.2,27.4,6.9,1
157,Changi,2014-06-07,2014,6,7,5,0.0,29.0,12.1,0
158,Changi,2014-06-08,2014,6,8,6,0.0,29.7,9.7,0
159,Changi,2014-06-09,2014,6,9,0,0.0,29.4,7.0,0
160,Changi,2014-06-10,2014,6,10,1,1.6,29.2,6.3,1
161,Changi,2014-06-11,2014,6,11,2,0.0,29.9,7.6,0
162,Changi,2014-06-12,2014,6,12,3,4.4,29.2,9.1,1
163,Changi,2014-06-13,2014,6,13,4,0.0,29.7,8.2,0
164,Changi,2014-06-14,2014,6,14,5,18.8,27.6,5.8,1
165,Changi,2014-06-15,2014,6,15,6,0.0,29.4,6.8,0
166,Changi,2014-06-16,2014,6,16,0,0.0,30.1,8.7,0
167,Changi,2014-06-17,2014,6,17,1,0.0,30.3,11.8,0
168,Changi,2014-06-18,2014,6,18,2,2.4,28.9,8.1,1
169,Changi,2014-06-19,2014,6,19,3,3.2,29.0,8.1,1
170,Changi,2014-06-20,2014,6,20,4,0.0,30.4,10.6,0
171,Changi,2014-06-21,2014,6,21,5,0.0,30.6,9.0,0
172,Changi,2014-06-22,2014,6,22,6,0.0,29.8,6.6,0
173,Changi,2014-06-23,2014,6,23,0,0.0,29.7,6.1,0
174,Changi,2014-06-24,2014,6,24,1,1.0,29.3,7.8,1
175,Changi,2014-06-25,2014,6,25,2,0.0,28.6,8.2,0
176,Changi,2014-06-26,2014,6,26,3,0.0,29.4,9.3,0
177,Changi,2014-06-27,2014,6,27,4,0.0,28.0,7.4,0
178,Changi,2014-06-28,2014,6,28,5,0.0,28.8,6.4,0
179,Changi,2014-06-29,2014,6,29,6,0.0,29.2,5.7,0
